categoria,metodo_conceito,descricao,regra_pratica,exemplo
Handicap,Handicap_Positive_Underdog,"Underdog recebe vantagem de pontos antes do jogo","Underdog +7 a +12 NBA","Time B +1.5 ganha aposta se perder por 1 gol"
Cenario,Underdog_Casa,"Underdog jogando em casa tende a competir mais","Favorito não costuma vencer por grande margem fora","Hornets +10.5 vs Celtics resultado 112-105"
Cenario,Favorito_Back_to_Back,"Favorito jogou no dia anterior e pode estar cansado","Reduzir projeção do favorito em 2 a 3 pontos","Magic +9 vs Lakers resultado 108-102"
Cenario,Jogo_Ritmo_Lento,"Jogos com pace baixo dificultam blowouts","Total baixo favorece handicap do underdog","Favorito 101 x 95 Underdog"
Metodo,Blowout_Regressao,"Mercado supervaloriza time após vitória muito grande","Vitória anterior >20 pontos gera valor no underdog","Mavericks -12 vs Rockets resultado 112-106"
Metrica,Net_Rating,"Diferença entre ataque e defesa do time","Net Rating favorito - underdog indica vantagem real","Favorito +7 vs Underdog -1 difference 8"
Metrica,Pace,"Número de posses por jogo","Pace baixo reduz diferença de pontos","Time A 102 pace vs Time B 96 pace"
Metrica,EFG_Percent,"Eficiência real de arremessos incluindo 3 pontos","Times com EFG alto pontuam mais","EFG 56% vs 51%"
Metrica,Turnover_Rate,"Taxa de perdas de bola","Underdog que perde poucas bolas mantém jogo competitivo","10 turnovers vs 15 turnovers"
Metrica,Rebote_Ofensivo,"Segundas chances de pontuar","Mais rebotes ofensivos aumentam posses","12 rebotes ofensivos vs 7"
Filtro,Handicap_Alto_Underdog,"Primeiro filtro para encontrar valor","Procurar underdogs +7 a +12","Pacers -9.5 vs Nets +9.5"
Filtro,Defesa_Top15,"Times com defesa forte evitam blowouts","Defensive rating top 15 liga","Defesa 108 rating"
Filtro,Total_Baixo,"Jogos com poucos pontos são mais equilibrados","Total menor que 214","Total 212"
Filtro,Favorito_Vindo_Blowout,"Favorito venceu último jogo por grande margem","Vitória anterior >20 pontos","Bucks 125 x 95 Bulls"
Modelo,Probabilidade_Cobertura,"Comparação entre linha da casa e projeção","Diferença 3 pontos ≈ 58% chance","Linha -11 modelo -8"
Modelo,Ajuste_Casa,"Time jogando em casa recebe vantagem","Adicionar +3 pontos ao time da casa","Net rating diferença 8 vira 11"
Modelo,Ajuste_Fadiga,"Back to back reduz desempenho","Subtrair 2 ou 3 pontos do favorito","11 vira 8"
Resultado,Value_Bet,"Aposta com vantagem estatística","Modelo difere da linha ≥3 pontos","Raptors +8 vs Heat -8"
