lib/nbaUtils.ts(460,9): error TS2365: Operator '<' cannot be applied to types 'unknown' and 'number'.
lib/schemas.ts(28,15): error TS2554: Expected 2-3 arguments, but got 1.
node_modules/@types/react-router-dom/index.d.ts(13,10): error TS2724: '"react-router"' has no exported member named 'match'. Did you mean 'UIMatch'?
node_modules/@types/react-router-dom/index.d.ts(19,5): error TS2305: Module '"react-router"' has no exported member 'PromptProps'.
node_modules/@types/react-router-dom/index.d.ts(20,5): error TS2305: Module '"react-router"' has no exported member 'Prompt'.
node_modules/@types/react-router-dom/index.d.ts(23,5): error TS2305: Module '"react-router"' has no exported member 'RedirectProps'.
node_modules/@types/react-router-dom/index.d.ts(24,5): error TS2724: '"react-router"' has no exported member named 'Redirect'. Did you mean 'redirect'?
node_modules/@types/react-router-dom/index.d.ts(25,5): error TS2305: Module '"react-router"' has no exported member 'RouteChildrenProps'.
node_modules/@types/react-router-dom/index.d.ts(26,5): error TS2305: Module '"react-router"' has no exported member 'RouteComponentProps'.
node_modules/@types/react-router-dom/index.d.ts(33,5): error TS2305: Module '"react-router"' has no exported member 'SwitchProps'.
node_modules/@types/react-router-dom/index.d.ts(34,5): error TS2305: Module '"react-router"' has no exported member 'Switch'.
node_modules/@types/react-router-dom/index.d.ts(35,5): error TS2724: '"react-router"' has no exported member named 'match'. Did you mean 'UIMatch'?
node_modules/@types/react-router-dom/index.d.ts(37,5): error TS2305: Module '"react-router"' has no exported member 'withRouter'.
node_modules/@types/react-router-dom/index.d.ts(38,5): error TS2724: '"react-router"' has no exported member named 'RouterChildContext'. Did you mean 'RouterContext'?
node_modules/@types/react-router-dom/index.d.ts(39,5): error TS2305: Module '"react-router"' has no exported member 'useHistory'.
node_modules/@types/react-router-dom/index.d.ts(42,5): error TS2724: '"react-router"' has no exported member named 'useRouteMatch'. Did you mean 'RouteMatch'?
node_modules/react-router/dist/development/index.d.ts(4,8): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/@types/react/index"' can only be default-imported using the 'esModuleInterop' flag
node_modules/react-router/dist/development/instrumentation--6Pioq_G.d.ts(413,5): error TS18028: Private identifiers are only available when targeting ECMAScript 2015 and higher.
node_modules/zod/v4/locales/index.d.cts(1,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/ar"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(2,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/az"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(3,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/be"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(4,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/bg"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(5,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/ca"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(6,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/cs"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(7,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/da"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(8,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/de"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(9,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/en"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(10,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/eo"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(11,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/es"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(12,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/fa"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(13,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/fi"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(14,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/fr"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(15,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/fr-CA"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(16,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/he"' can only be default-imported using the 'esModuleInterop' flag
node_modules/zod/v4/locales/index.d.cts(17,21): error TS1259: Module '"/home/jujuba2/Downloads/nba-monitor-v1/node_modules/zod/v4/locales/hu"' can only be default-imported using the 'esModuleInterop' flag
